Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,SRC_UP.V1_UP,-0.3912590366615745,-1.5019436893778582,0.010752688172043012,0.2271214642262895,0.48,71/157,33.84%,COL26A1;KCNH3;POU3F2;MORN3;PRR3;RPRM;TMEM88;SLC4A9;MLXIPL;STAC3;PFKFB1;ARRDC1-AS1;TTC21A;COX4I2;MMP16;LEKR1;MIOX;CD70;SYN1;APC2;CLDN9;PACSIN3;BCRP3;DLL3;BRWD1-AS1;TFR2;CEACAM19;CCDC65;ATP8A2;BAHD1;MTMR9LP;FES;AIM2;PDZD7;AAAS;ANGPTL6;MED10;CAPS;FGF23;OPRL1;VPS37D;MAMDC4;SUGCT;TAF3;ESR2;RAB3A;C19orf73;LAMP3;WTIP;TECTA;TMUB1;SLC25A22;CLIP3;SLC26A1;SMTNL1;TM4SF5;MAPK8IP2;RNASE1;PRADC1;TMEM11;SMO;ICAM5;DLGAP1-AS2;RFXANK;NPC1L1;AADAC;TONSL;PI16;ACAP1;HPX;FMN2
prerank,STK33_SKM_UP,0.2495343779363922,1.4839077978899162,0.0,0.06441558441558441,0.08,71/242,17.93%,IL1A;NAMPT;TMEM71;TFPI2;NFKBIZ;MFAP3;IL15;GPR34;IL1B;ERMAP;LMBRD2;NMNAT1;MXD1;EVI5;CD101;TNF;CD58;KLF6;RNF141;ACSL6;THAP1;MPEG1;TLR1;GBP3;ASPH;BCL2A1;SQSTM1;FGL2;PLXNB2;RNF19B;STX12;RCBTB2;HINT3;SERAC1;P2RY14;SIPA1L2;GPR65;CYBB;KCNJ2;STOX2;ARRDC3;CTSK;ASB2;NFXL1;DUSP1;CCL4;IRF1;BBS12;AFF4;GLIPR1;ZNF675;ZBTB6;TRIM23;FCHO2;CRK;MYBPH;CPEB2;AMMECR1;TP53INP2;GDPD1;TMTC3;WDR19;PLCXD2;CALHM2;ARL5B;FGD4;CREB5;THBD;STAM2;TWF1;OSBPL11
prerank,JNK_DN.V1_DN,-0.38330216986618765,-1.4826103594245406,0.0,0.19334442595673879,0.57,65/175,25.11%,JPH3;RARA;TM4SF4;GRIN2C;KLHL35;ITGA10;NOVA1;SYT17;NR2E1;MAT1A;ARHGAP4;GPR12;MIA;IDUA;APOBEC3F;TULP1;FXYD2;TTLL3;APLP1;ABHD2;PCDH9;RAB6B;KCNJ8;IRGC;CRYBA1;GCNT1;CAPN11;FER;PCYT1B;RGS16;LINC00342;GCGR;FAM131B;TBKBP1;FLRT1;PTPN18;NFKBIL1;TRO;TNS2;VEGFC;TYMP;FABP6;EFNA5;ARR3;SPRY1;PLCB1;ZIC2;MAFK;INPPL1;CHD1L;NRGN;SERPING1;TNIK;TRAF6;RCAN2;NDRG2;PFAS;GGCX;SLC12A5;SIPA1;SMAD9;OR7A5;LRIG2;KCNA4;DENND5A
prerank,E2F1_UP.V1_UP,0.23091790959866393,1.4613900050404063,0.0,0.0731995277449823,0.09,47/175,17.14%,CNOT7;DDX46;DMBT1;SSX2IP;CMA1;WRN;UBN1;KIF2A;MPG;GRSF1;ELANE;SLC35E1;PSME3;MAPK14;KPNA3;CASP7;STIL;DCTPP1;TPD52;BUB1;RBM22;BRCA2;RB1;PLK4;PITPNM1;MASP1;THOP1;RHBDL3;TFAM;DBF4;DNA2;EIF6;RRM1;CHEK1;MED20;GPN2;ITSN1;CHAF1B;PIGA;MCM4;DLGAP5;TAF9;UQCC1;SLBP;TRNT1;MAP3K3;SLC7A1
prerank,BRCA1_DN.V1_UP,-0.40964201492784375,-1.4392982257442974,0.010526315789473684,0.26730449251247923,0.77,29/112,18.04%,SHANK1;MAP2;CHRNA6;CCKBR;KLHL35;IL1RL2;NKX2-2;PRSS21;CTNNA3;LHX6;GRID2;CHAT;SIX1;ISYNA1;INE1;MYBPC1;SP4;KCNB2;KCNH7;RCN3;CHD5;SLC16A6;ANGPT4;TACR3;AIM2;SPO11;EXTL1;SLCO1A2;CFAP69
prerank,PRC2_SUZ12_UP.V1_UP,-0.38737686914555863,-1.427753112970987,0.010309278350515464,0.2431946755407654,0.82,39/173,16.39%,SLC6A15;RPL3L;PPFIA4;ACTL8;SEMA3E;GRIN2C;PAQR6;PCSK1N;MYL3;IL1RL2;KRT81;FGF9;NKX6-1;CA11;BRDT;ALX4;KRT15;POU2F1;KRI1;CD70;DCBLD2;POLM;SLC39A2;ST18;TRIM58;FOLR3;SERGEF;ARL4C;ZNF208;NEIL1;CYP1B1;LIME1;ALDH1A3;RBM4;PKD2L1;GRP;POMT2;CIDEA;CAB39L
prerank,STK33_UP,0.24906766068696057,1.426382941254251,0.0,0.07380952380952381,0.1,70/263,17.29%,IL1A;CXCL1;NAMPT;TMEM71;WNT5A;TFPI2;MFAP3;MMP1;GPR34;IL1B;LMBRD2;USP53;CXCL3;CDKN1B;CXCL2;CD101;GFPT1;GPRIN3;AQP9;VWA5A;TNF;KBTBD8;GLCE;KLF6;RNF141;THAP1;MPEG1;HBP1;FNDC3A;TLR1;AKTIP;GBP3;ASPH;ZBTB18;BCL2A1;MAP4K3;SQSTM1;FGL2;RNF19B;STX12;HINT3;P2RY14;TREM1;SIPA1L2;EMP1;GPR65;KCNJ2;ARRDC3;IL6ST;ASB2;NFXL1;DUSP1;CCL4;ADAMDEC1;BBS12;AFF4;GLIPR1;ZBTB6;TRIM23;FCHO2;CRK;OSTM1;CPEB2;WDR19;PLCXD2;MTMR9;ARL5B;CREB5;THBD;STAM2
prerank,CTIP_DN.V1_UP,-0.39119374200956986,-1.4241200054577359,0.0,0.21663893510815307,0.82,32/118,16.15%,C1orf105;PNMT;PTH1R;TERT;PCDHA5;KCNIP2;SP140;TRAF1;TULP1;GRID2;WT1-AS;SCAND2P;ALPK3;KCNK2;DDIT3;KCNS1;RND2;TTR;EGFL7;MYOM1;SLC35G2;OPN1SW;KCNB2;SNAI1;SLC17A1;PPP2R3B;RGSL1;PPEF1;PKD2L1;GNG7;GEMIN7;NPPA
prerank,BCAT_GDS748_DN,-0.42358637680303585,-1.3987638700650737,0.05747126436781609,0.2605657237936772,0.89,13/41,23.32%,SLC27A6;TTR;MYBL1;PMFBP1;ISYNA1;ZNF273;CNPY3;SLC35E3;CHMP4A;CDK5RAP3;ADAMTS20;HLX;MZT2A
prerank,KRAS.BREAST_UP.V1_DN,-0.3793484450315364,-1.3931352586818824,0.01020408163265306,0.2454658901830283,0.93,46/128,27.83%,TM4SF4;NOX5;POU3F2;SLC30A3;PAQR6;RBM17;ZNF37BP;TTYH1;ASPHD1;TNNI3;NFATC4;WT1-AS;ALG1L2;EGFL7;GP6;TEX15;EGR4;EXOSC1;PDE6B;ATP6V1B1;CYP21A2;SERPINA10;GLS2;SPTBN2;CLSTN3;FGFR3;KCNQ3;SDS;SLC9A7;TRIM9;KLF8;KCNJ3;ADAMTS20;DTNB;SERPING1;ALOX12B;PBX1;CDK18;MYH7;POLL;RUNDC3B;C22orf31;KDM4D;CCDC57;CACNA1A;ELMO1
prerank,KRAS.600.LUNG.BREAST_UP.V1_DN,-0.35932950464968216,-1.3900206299261235,0.0,0.2290626733222407,0.93,73/257,20.19%,TM4SF4;NOX5;SLC30A3;THBS3;KRT4;PAQR6;RBM17;KRT16;NSUN6;PAX2;IL12RB2;GAMT;EPHX3;KCNIP2;CDH16;FSCN2;BRDT;YBX2;ADD2;IVL;TNNI3;FBXO24;GPRC5B;ALDH5A1;PRDM12;APC2;PSORS1C1;ALG1L2;KCNB1;GP6;MYOM1;TEX15;TGM1;RAG1;TRIM58;FLT1;CALML3;PPFIA3;PDE6B;GP1BA;NEIL1;GRIA1;ATP6V1B1;CYP21A2;CKM;SERPINA10;SLC3A1;TBKBP1;CCDC102B;CD36;GLS2;PRODH2;SPTBN2;AAAS;SOX11;FGFR3;SLC6A3;AKAP6;CNTLN;IGFBP2;SDS;PLXND1;MRPL41;SCARF1;DYRK1B;SH3GL3;CLCA2;COL19A1;HOXB3;MXD3;CHRM5;TRIM9;KLF8
prerank,KRAS.KIDNEY_UP.V1_UP,-0.3865292841090812,-1.385520547127471,0.01,0.21873544093178038,0.93,43/131,23.85%,SCG3;SLC6A15;SNAP25;ERC2;GRIK2;KIF5C;DYNC1I1;FGF9;GHRH;AQP4;GPM6A;NRCAM;NRXN1;SLC6A1;GPRC5B;NMNAT2;GABRA5;PCDH9;ETV1;CDK5R1;KCNJ8;HPCAL4;ALDH1A1;RTN1;HEY1;DUSP6;SYT1;GCGR;GAP43;SERPINI1;CAB39L;CFAP69;PLCB1;GABRA1;TRIM9;PNMA2;GABRR2;TRIB2;GPR19;RCAN2;GPR37;SLC12A5;ASPA
prerank,ATM_DN.V1_UP,-0.3736569680553242,-1.3827059547670162,0.04081632653061224,0.20583875359249737,0.93,46/138,22.39%,ENO3;GCM1;RSPH6A;XCL1;SNCB;BDNF;TRAF1;SLC6A1;SYN1;ASIC4;SPAG4;NGFR;RPE65;TTR;TXK;TEKT2;MYOM1;PIDD1;CRHR2;CD19;OCM;FSTL3;SRD5A1;PHKG1;VAV2;FLT1;SARDH;ADARB1;GPR162;KRT85;CD36;LHB;TNNT3;NFKBIL1;PRODH2;TIAM2;NDRG4;VEGFA;DNAI1;S100A2;QTRT1;FGF5;CNTFR;LHPP;BCHE;RAB3A
prerank,TBK1.DN.48HRS_DN,0.3274140054215135,1.3774678771692812,0.0625,0.0991008991008991,0.15,15/48,15.43%,XBP1;MAPK9;IL13RA1;BIRC2;DCK;PSMB8;DLD;CPNE3;BIRC5;CTNNAL1;AKAP8;RAD51C;ATG3;RALB;CDK1
prerank,KRAS.50_UP.V1_DN,-0.4410565752032847,-1.3553828907653565,0.08602150537634409,0.27254575707154743,0.97,14/42,19.44%,KRT4;RRAD;HYAL4;KRT16;CDH16;PSORS1C1;TGM1;PPFIA3;ATP6V1B1;SOX11;SLC6A3;SDS;MX2;SPRR1B
prerank,JAK2_DN.V1_DN,-0.3712508263385262,-1.3525426102862608,0.061855670103092786,0.25695635479329326,0.97,49/136,28.62%,SUZ12P1;COL26A1;NAALAD2;NSUN6;MROH7;CSAD;CAPRIN2;DMTF1;ZNF160;LINC01278;CDRT4;PVT1;MYBL1;PNISR;DLL3;ETNPPL;LINC00115;GUSBP1;DBH;ADAMTSL4;GABBR1;GOLGA2P10;OXTR;ZNF280D;GABRE;FAN1;NOL12;DPY19L2P2;FLCN;GOLGA8A;TRIM52;SEC31B;CEP152;CCNL1;TNRC18;HCG18;HYMAI;GOLGA8B;DIP2A;LRRC37A2;TMEM245;ZNF721;TMEM163;GRM3;ATM;EPM2AIP1;CARF;PCDHB13;HERC2P3
prerank,DCA_UP.V1_UP,-0.3605516025143362,-1.3500490628678632,0.01020408163265306,0.24608985024958405,0.97,35/171,11.82%,IRX4;C1orf105;NTN3;IL23A;PNMT;SERPINA4;RPRM;CACNG5;MYOZ3;ATP1B2;CNGB3;EYA2;WNT16;HOXC5;CD70;TTLL3;SIX1;ALG1L2;MX1;RPE65;INSL3;CYP2B7P;IRGC;KREMEN2;ZNF157;COLQ;ZNF117;ANKRD53;GARNL3;MIR600HG;CAPN11;INO80B;SARDH;CUBN;GRIA1
prerank,CAMP_UP.V1_DN,0.23972363864943513,1.3358416608261299,0.0,0.1150278293135436,0.18,38/192,9.54%,HSPA8;PTPRD;SEL1L3;UBTD2;GNG12;DAG1;MAPK1;NPEPPS;TMSB4X;PKIA;HINT1;NFKB1;RAP2A;IL7R;TMEM98;ETS2;KBTBD11;MFN1;RGS18;CASP7;SMARCC1;USP38;SYPL1;CELF2;IDS;BZW1;MYO5B;ARHGAP5;BIRC3;IQCK;CHST2;PRDM1;ESYT1;DDAH1;IGFBP5;TSC22D1;ASAP2;ACAT2
prerank,BMI1_DN_MEL18_DN.V1_UP,0.24308436366863756,1.3235111086232167,0.0,0.11272727272727272,0.18,25/140,10.42%,TNIP3;IL1A;CXCL1;CXCL8;LSAMP;PTHLH;HAPLN1;IL7R;ANXA3;CSF2;COL7A1;ADGB;PAPPA;KLF7;NAV2;BIRC3;CDH13;ASPH;ZC3H12A;WNT5B;TNFRSF9;EDN1;SIK1;SLC6A9;BMP5
