COLEC10,7.068616910940179
SLC7A11-AS1,6.914403076797894
ADPGK-AS1,6.565460657491173
SNORD89,6.404058406785621
NOS2,6.169402699747478
LUCAT1,6.072388615225228
PLAC4,5.9437023898301
CFLAR-AS1,5.943222659037371
AFP,5.912077394437835
STARD13-AS,5.701293455224414
SLC13A5,5.647798793435179
CYP1A1,5.623785704864115
GSN-AS1,5.620289636479602
DEFA6,5.620047109245147
RNU4ATAC,5.612211864149573
C1orf195,5.6025207737079965
SLC2A2,5.5233772650335835
USP3-AS1,5.4212978278457475
TREML4,5.399282341965919
SNORA80E,5.388395680232318
PBOV1,5.3194387804988486
SARNP,5.179307179813792
AHSG,5.120065654561935
BAAT,5.095912886107808
GPR82,5.093576401155539
AC107959.2,5.082988587158453
SMCR5,5.076366145499765
SPIN2A,5.06031328400831
THRA1/BTR,5.045217290987477
VNN3,5.036466867832517
ATP11A-AS1,4.969851438635741
BACH1-IT2,4.9630821991021605
RHOXF1-AS1,4.940025866793928
ITPK1-AS1,4.930080860837211
SERPINB4,4.929286741223931
GSPT1,4.925413789170363
SPDYA,4.908813369789577
CSNK1A1L,4.901439941344556
DCT,4.850536506459732
NEAT1,4.766464017096163
LINC00626,4.764378498826364
DCTN1-AS1,4.756818723238678
MTUS1,4.753966893046938
ANKRD44-IT1,4.753474449865068
ZEB2-AS1,4.7452539839816525
PZP,4.740403471151912
AIRN,4.714049171411209
SALL1,4.6792287843624925
FLJ42393,4.668421967401058
C5orf58,4.641602496586234
ARHGAP26-AS1,4.626149718387917
SNORD67,4.622128100563243
MAEL,4.60666671085707
GRIK1,4.598987579445821
SNORA11,4.543173234181082
LRRTM2,4.539670259928496
SNORA14B,4.5285202046727
PCCA-AS1,4.521266881839383
ZBTB20,4.509941147273052
DPPA4,4.499272716620541
ITIH2,4.458108416806265
PMM2,4.457193762148953
TNIP3,4.455150750379884
C12orf40,4.448497590964772
MTRNR2L3,4.433584214624019
AL139022.1,4.428000210313451
SLC39A8,4.4146337195911505
PSMD6-AS2,4.407571120914094
SCARNA11,4.37731288856334
FSD2,4.375161701245143
NDUFV2,4.364525837053305
NME9,4.3617579197678005
TBC1D22A-AS1,4.356222760959064
ST7-OT4,4.3557193459815045
SHPRH,4.350080032473453
RHAG,4.3390667792759015
ERVFRD-1,4.336576736333381
LIN28A,4.332200000211834
DIP2A-IT1,4.331234634123102
GK3P,4.320993430023988
RFFL,4.2891451422484534
TAS2R19,4.285104291255999
PRKAR2A,4.2836609725271515
TAS2R50,4.283307547014909
BPIFB2,4.262918076588355
SNORD17,4.2610721540468735
EHD4-AS1,4.224404770743101
BMP2K,4.222850549018297
WFDC21P,4.220660134599231
SNORA70G,4.217813022175444
NBAT1,4.217803783453172
COL6A5,4.201921088382348
RAB3B,4.195872047470649
IGF2BP2-AS1,4.1921172137595875
TDRD1,4.1868424322249425
SNORA80B,4.178704708751861
ASPG,4.170910246502979
KLHL11,4.156554925081784
CXCL8,4.134036232857857
ADGRE3,4.128531484530843
MTRNR2L4,4.11286917549915
KIAA0825,4.110677388079364
DLK1,4.104695262611473
APOB,4.0958812775387985
SCARNA9,4.062292822988163
CCL11,4.057931167570493
JARID2-AS1,4.051513002494917
GP2,4.048628328696296
PRH1,4.030260576978728
FDFT1,4.026024196662862
TPI1P3,3.9977550854704997
REG3A,3.9837228328041823
LARGE-AS1,3.9779511678638775
CDHR4,3.9777279639317595
ERAP1,3.9738096934253027
SLC8A1-AS1,3.9735917901779896
IPO11,3.9692366133202044
SLC39A14,3.9679915214135786
IL24,3.9534645443704064
TAS2R31,3.952623579067778
BMPER,3.9519701288576705
AC068587.4,3.951440342658191
NRG1,3.9432120312356727
FOXP1-AS1,3.9417883322076017
AC005224.3,3.9416870894412397
KCNQ1OT1,3.9314211123119622
INSC,3.905670464873896
PROK2,3.9025999378830214
HERC3,3.8956073989792745
MACROD2-AS1,3.8946096751043138
SNORA14A,3.892752491913038
ASRGL1,3.8921135723148046
GPR18,3.8853868856371667
TMEM165,3.8845785906366666
DSCAM-AS1,3.8825875729246766
CD1B,3.876768442612096
LIPN,3.872842490915893
LINC01093,3.872401609791888
RBM44,3.870643551271129
CLIP1-AS1,3.8669763561723554
TTTY14,3.8595533409411367
ZNRF3-AS1,3.852384979265466
PDC,3.8519441497209868
TAS2R13,3.851524642718033
CELF2-AS1,3.849028498563264
GSR,3.8468065051964033
NDC1,3.843642856321681
LINC00607,3.8410393365331417
TBC1D14,3.8350435979999213
ORC1,3.8348603637649887
CDC42SE2,3.8296588837097643
ST3GAL3,3.8268881220943785
NFIA,3.8241086870316763
PCDHGA7,3.8222182546578938
GTF3C2-AS1,3.815006156339907
MASP2,3.813889429443799
AJAP1,3.8095912713649254
CCL22,3.80260452531655
GHRLOS,3.800932786811725
MATR3,3.790399475396884
CHN2,3.7877227976744763
OMG,3.7864245826592615
RNU5F-1,3.785617602983703
SNORA37,3.781708683262047
CKMT2,3.7792844462154225
NFATC3,3.774944488013006
C17orf78,3.7713803114315536
FPR2,3.7678418150294233
CPB2-AS1,3.766802095475609
AC015914.1,3.765462288132713
NGLY1,3.750263086529033
THOC7-AS1,3.737108860237097
F2RL2,3.734059938363924
CCDC47,3.728599132303431
CXCL1,3.7235110934724256
SNORD46,3.7158734462676595
DEPDC1,3.7081376280233296
CCDC144CP,3.693084833684381
AC093690.1,3.6924195383345104
C2CD4B,3.6871531856715887
DAB1,3.6859751292027183
SND1-IT1,3.685216130340543
MMP10,3.6845765927093375
HTT-AS,3.6811985861011993
